record_id,source_type,date,reference_id,description,net_amount,vat_amount,gross_amount,counterparty_ref,country,category,vat_code
REC-00203,sale,2025-02-14,578065,HANGING HEART JAR T-LIGHT HOLDER,4.92,0.0,4.92,UNKNOWN,United Kingdom,sales,ZR
REC-00204,sale,2025-01-14,574308,RED WOOLLY HOTTIE WHITE HEART.,4.25,0.85,5.1,16409,United Kingdom,sales,SR
REC-00205,sale,2025-01-01,572553,RED ROCKING HORSE HAND PAINTED,2.46,0.49,2.95,UNKNOWN,United Kingdom,sales,SR
REC-00206,sale,2025-01-21,525973,RED RETROSPOT CAKE STAND,42.46,8.49,50.95,UNKNOWN,United Kingdom,sales,SR
REC-00207,sale,2025-01-13,525442,SET OF THREE VINTAGE GIFT WRAPS,23.4,4.68,28.08,14825,United Kingdom,sales,SR
REC-00208,sale,2025-03-03,581439,HANGING JAM JAR T-LIGHT HOLDERS,13.28,1.42,15.94,UNKNOWN,United Kingdom,sales,SR
REC-00209,sale,2025-01-11,558707,VINTAGE UNION JACK CUSHION COVER,4.95,0.99,5.94,12748,United Kingdom,sales,SR
REC-00210,sale,2025-02-14,522711,WRAP RED APPLES,10.5,0.0,10.5,17348,United Kingdom,sales,EXEMPT
REC-00211,sale,2025-03-04,572541,CHOCOLATE 3 WICK MORRIS BOX CANDLE,2.5,0.5,3.0,17315,United Kingdom,sales,SR
REC-00212,sale,2025-02-21,559812,KINGS CHOICE MUG,7.5,0.0,7.5,15051,United Kingdom,sales,ZR
REC-00213,sale,2025-01-18,537638,SET/6 PURPLE BUTTERFLY T-LIGHTS,4.21,0.84,23.93,UNKNOWN,United Kingdom,sales,SR
REC-00214,sale,2025-03-13,511100,AIRLINE BAG VINTAGE TOKYO 78,25.4,5.08,30.48,17416,United Kingdom,sales,SR
REC-00215,sale,2025-03-05,524113,CHOCOLATE HOT WATER BOTTLE,14.85,0.0,14.85,13897,United Kingdom,sales,EXEMPT
REC-00216,sale,2025-03-07,510088,HANGING MEDINA LANTERN LARGE,8.5,0.0,8.5,16391,United Kingdom,sales,EXEMPT
REC-00217,sale,2025-01-13,497915,PACK OF 72 RETRO SPOT CAKE CASES,6.6,1.32,7.92,13421,United Kingdom,sales,SR
REC-00218,sale,2025-01-11,537253,CHRISTMAS CRAFT TREE TOP ANGEL,21.0,4.2,25.2,UNKNOWN,United Kingdom,sales,SR
REC-00219,sale,2025-03-25,541497,"LETTER ""K"" BLING KEY RING",1.66,0.33,1.99,UNKNOWN,United Kingdom,sales,SR
REC-00220,sale,2025-02-05,532139,Dad's Cab Electronic Meter,8.47,1.69,10.16,UNKNOWN,United Kingdom,sales,SR
REC-00221,sale,2025-01-28,550292,PINK STITCHED WALL CLOCK,3.75,0.0,3.75,14527,United Kingdom,sales,EXEMPT
REC-00222,sale,2025-02-13,502872,SET/3 VANILLA SCENTED CANDLE IN BOX,8.47,1.69,10.16,UNKNOWN,United Kingdom,sales,SR
REC-00223,sale,2025-02-28,541845,PEG BAG APPLES DESIGN,2.55,0.51,3.06,15167,United Kingdom,sales,SR
REC-00224,sale,2025-03-27,538524,PACK OF 12 HEARTS DESIGN TISSUES,1.7,0.34,2.04,UNKNOWN,United Kingdom,sales,SR
REC-00225,sale,2025-01-27,517384,SILVER CHARM NECKLACE 70CM,7.5,1.5,9.0,16984,United Kingdom,sales,SR
REC-00226,sale,2025-03-25,562569,CHOCOLATE BOX RIBBONS,3.75,0.75,4.5,17323,United Kingdom,sales,SR
REC-00227,sale,2025-01-02,492226,MIXED NUTS LIGHT GREEN BOWL,2.57,0.51,3.08,UNKNOWN,United Kingdom,sales,SR
REC-00228,sale,2025-02-19,504878,GLASS  BEURRE DISH,7.9,0.0,7.9,15768,United Kingdom,sales,ZR
REC-00229,sale,2025-02-26,536544,PURPLE SWEETHEART BRACELET,4.24,0.85,5.09,UNKNOWN,United Kingdom,sales,SR
REC-00230,sale,2025-01-09,571119,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,2.46,0.0,2.46,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00231,sale,2025-01-13,534794,WOODEN STAR CHRISTMAS SCANDINAVIAN,8.5,1.7,10.2,15984,United Kingdom,sales,SR
REC-00232,sale,2025-02-07,494016,SET OF 3 RABBIT CARROTS EASTER,1.7,0.34,-4.08,UNKNOWN,United Kingdom,sales,SR
REC-00233,sale,2025-03-28,549718,FELTCRAFT CUSHION RABBIT,15.0,3.0,18.0,13846,United Kingdom,sales,SR
REC-00234,sale,2025-02-24,498548,DAISY NOTEBOOK,4.95,0.99,5.94,17400,United Kingdom,sales,SR
REC-00235,sale,2025-03-25,501790,,14.5,2.9,17.4,14607,United Kingdom,sales,SR
REC-00236,sale,2025-03-13,570091,BLUE HARMONICA IN BOX,15.0,3.0,18.0,15632,United Kingdom,sales,SR
REC-00237,sale,2025-02-11,518426,BLUE EGG  SPOON,5.04,0.0,5.04,16170,United Kingdom,sales,ZR
REC-00238,sale,2025-03-12,541221,RED RETROSPOT PLATE,22.14,4.43,26.57,UNKNOWN,United Kingdom,sales,SR
REC-00239,sale,2025-01-02,566581,FELTCRAFT DOLL ROSIE,2.95,0.59,3.54,16081,United Kingdom,sales,SR
REC-00240,sale,2025-01-10,570591,HAND WARMER UNION JACK,25.2,5.04,30.24,17071,United Kingdom,sales,SR
REC-00241,sale,2025-03-16,546415,CHOCOLATE CALCULATOR,3.3,0.66,3.96,17975,United Kingdom,sales,SR
REC-00242,sale,2025-03-13,562616,SET OF 12 FAIRY CAKE BAKING CASES,6.64,1.33,7.97,14748,United Kingdom,sales,SR
REC-00243,sale,2025-01-21,491630,PINK CREAM FELT CRAFT TRINKET BOX,3.75,0.75,4.5,17851,United Kingdom,sales,SR
REC-00244,sale,2025-02-17,509416,WOODEN CROQUET GARDEN SET,12.75,0.0,12.75,14505,United Kingdom,sales,EXEMPT
REC-00245,sale,2025-02-24,566735,LUNCH BOX I LOVE LONDON,1.95,0.39,2.34,15707,United Kingdom,sales,SR
REC-00246,sale,2025-03-19,492423,FOLKART CLIP ON STARS,8.4,1.68,10.08,12748,United Kingdom,sales,SR
REC-00247,sale,2025-02-24,546171,VICTORIAN  METAL POSTCARD SPRING,13.52,2.7,16.22,16359,United Kingdom,sales,SR
REC-00248,sale,2025-02-06,569302,LUNCH BAG RED RETROSPOT,4.95,0.99,5.94,16205,United Kingdom,sales,SR
REC-00249,sale,2025-02-03,514876,RED/WHITE DOT MINI CASES,76.2,15.24,91.44,17511,United Kingdom,sales,SR
REC-00250,sale,2025-02-07,493695,COLOURFUL FISHING GNOME,5.95,1.19,7.14,14606,United Kingdom,sales,SR
REC-00251,sale,2025-02-27,573572,SWEETHEART 3 TIER CAKE STAND,29.85,5.97,35.82,14527,United Kingdom,sales,SR
REC-00252,sale,2025-03-19,525054,CHILDS GARDEN FORK PINK,0.85,0.0,0.85,17126,United Kingdom,sales,ZR
REC-00253,sale,2025-02-10,519730,HOT BATHS METAL SIGN,6.3,1.26,7.56,16549,United Kingdom,sales,SR
REC-00254,sale,2025-01-22,565411,60 TEATIME FAIRY CAKE CASES,1.1,0.22,1.32,13772,United Kingdom,sales,SR
REC-00255,sale,2025-01-22,513942,BUNNY WOODEN PAINTED WITH BIRD,1.66,0.0,-9.6,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00256,sale,2025-03-08,568907,FOOD CONTAINER SET 3 LOVE HEART,11.7,0.0,11.7,15370,United Kingdom,sales,EXEMPT
REC-00257,sale,2025-03-14,554526,ICE CREAM PEN LIP GLOSS,7.5,1.5,9.0,,United Kingdom,sales,SR
REC-00258,sale,2025-01-09,532023,STRAWBERRY BATH SPONGE,1.25,0.25,1.5,14963,United Kingdom,sales,SR
REC-00259,sale,2025-01-07,541809,CHARLIE+LOLA RED HOT WATER BOTTLE,??,1.83,10.96,UNKNOWN,United Kingdom,sales,SR
REC-00260,sale,2025-02-23,563352,DONKEY TAIL GAME,22.5,0.0,22.5,15706,United Kingdom,sales,EXEMPT
REC-00261,sale,2025-01-14,536404,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,15.0,0.0,15.0,16218,United Kingdom,sales,ZR
REC-00262,sale,2025-03-15,552318,FLOWER BURST SILVER RING CRYSTAL,3.75,0.0,3.75,17231,United Kingdom,sales,ZR
REC-00263,sale,2025-01-28,541789,BLACK HEART CARD HOLDER,40.68,8.14,48.82,14088,United Kingdom,sales,SR
REC-00264,sale,2025-01-14,551880,DOORMAT SPOTTY HOME SWEET HOME,15.9,3.18,19.08,17374,United Kingdom,sales,SR
REC-00265,sale,2025-03-24,540692,SET OF 36 PAISLEY FLOWER DOILIES,17.4,0.0,17.4,14320,United Kingdom,sales,ZR
REC-00266,sale,2025-01-15,538079,IVORY GIANT GARDEN THERMOMETER,11.9,2.38,14.28,17671,United Kingdom,sales,SR
REC-00267,sale,2025-01-27,495889,BATHROOM METAL SIGN,1.1,0.22,1.32,17604,United Kingdom,sales,SR
REC-00268,sale,2025-01-14,544658,PAPER BUNTING WHITE LACE,102.0,0.0,102.0,13113,United Kingdom,sales,EXEMPT
REC-00269,sale,2025-01-10,572475,GROW YOUR OWN BASIL IN ENAMEL MUG,4.2,0.84,5.04,15271,United Kingdom,sales,SR
REC-00270,sale,2025-01-02,503426,JIGSAW TREE WITH WATERING CAN,3.32,0.66,3.98,UNKNOWN,United Kingdom,sales,SR
REC-00271,sale,2025-01-06,574941,WOODEN BOX OF DOMINOES,460.2,0.0,460.2,UNKNOWN,United Kingdom,sales,ZR
REC-00272,sale,2025-01-16,502251,IVORY HANGING DECORATION  EGG,10.2,2.04,12.24,13869,United Kingdom,sales,SR
REC-00273,sale,2025-01-06,568491,GARDENERS KNEELING PAD CUP OF TEA,3.3,0.66,3.96,15443,United Kingdom,sales,SR
REC-00274,sale,01-2025,515759,PICNIC BASKET WICKER SMALL,8.47,0.0,8.47,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00275,sale,2025-03-03,489561,36 PENCILS TUBE SKULLS,20.0,4.0,24.0,14654,United Kingdom,sales,SR
REC-00276,sale,,499973,HEART IVORY TRELLIS SMALL,6.25,1.25,7.5,13595,United Kingdom,sales,SR
REC-00277,sale,2025-01-29,531478,SET OF 6 RIBBONS VINTAGE CHRISTMAS,25.5,5.1,30.6,17084,United Kingdom,sales,SR
REC-00278,sale,2025-02-14,537605,REGENCY CAKESTAND 3 TIER,51.0,8.39,61.2,16221,United Kingdom,sales,SR
REC-00279,sale,2025-03-20,550471,JUMBO SHOPPER VINTAGE RED PAISLEY,8.26,-0.36,9.91,UNKNOWN,United Kingdom,sales,SR
REC-00280,sale,2025-03-18,579187,GLASS JAR DAISY FRESH COTTON WOOL,5.79,1.16,6.95,UNKNOWN,United Kingdom,sales,SR
REC-00281,sale,2025-01-04,524163,FRENCH ENAMEL UTENSIL HOLDER,3.75,0.75,4.5,17524,United Kingdom,sales,SR
REC-00282,sale,2025-01-16,575369,2 PICTURE BOOK EGGS EASTER DUCKS,15.0,3.0,18.0,16655,United Kingdom,sales,SR
REC-00283,sale,Q1-2025,564974,RABBIT NIGHT LIGHT,4.13,0.83,4.96,UNKNOWN,United Kingdom,sales,SR
REC-00284,sale,2025-01-23,547871,CUBIC MUG PINK POLKADOT,2.34,0.47,2.81,16931,United Kingdom,sales,SR
REC-00285,sale,2025-02-20,550987,12 IVORY ROSE PEG PLACE SETTINGS,9.84,1.97,11.81,,United Kingdom,sales,SR
REC-00286,sale,2025-02-06,562688,RED DRAWER KNOB ACRYLIC EDWARDIAN,5.0,0.0,5.0,13869,United Kingdom,sales,EXEMPT
REC-00287,sale,2025-01-05,515029,HANGING HEART ZINC T-LIGHT HOLDER,10.2,0.0,10.2,13201,United Kingdom,sales,ZR
REC-00288,sale,2025-02-03,581217,SCOTTIE DOGS BABY BIB,2.49,0.5,2.99,UNKNOWN,United Kingdom,sales,SR
REC-00289,sale,2025-02-17,573335,FIRST AID TIN,3.25,0.65,3.9,15059,United Kingdom,sales,SR
REC-00290,sale,01-2025,567818,PACK OF 12 SPACEBOY TISSUES,4.68,0.94,5.62,14395,United Kingdom,sales,SR
REC-00291,sale,2025-03-17,562209,PHOTO FRAME 3 CLASSIC HANGING,19.9,3.98,23.88,13213,United Kingdom,sales,SR
REC-00292,sale,2025-01-06,536612,WOODEN FRAME ANTIQUE WHITE,15.3,0.0,15.3,17850,United Kingdom,sales,ZR
REC-00293,sale,2025-03-25,547485,RECYCLED PENCIL WITH RABBIT ERASER,0.84,0.17,1.01,17019,United Kingdom,sales,SR
REC-00294,sale,2025-01-09,574481,PLAYING CARDS I LOVE LONDON,2.5,0.5,3.0,18022,United Kingdom,sales,SR
REC-00295,sale,2025-03-17,555835,BLUE HAPPY BIRTHDAY BUNTING,5.45,1.09,6.54,14525,United Kingdom,sales,SR
REC-00296,sale,2025-03-22,513594,RETROSPOT PADDED SEAT CUSHION,15.0,3.0,18.0,16782,United Kingdom,sales,SR
REC-00297,sale,2025-03-29,523748,PLACE SETTING WHITE STAR,10.08,2.02,12.1,14628,United Kingdom,sales,SR
REC-00298,sale,2025-03-13,572335,TRADTIONAL ALPHABET STAMP SET,19.8,3.96,23.76,14493,United Kingdom,sales,SR
REC-00299,sale,2025-03-11,558874,12 PENCILS TALL TUBE WOODLAND,1.7,0.34,2.04,UNKNOWN,United Kingdom,sales,SR
REC-00300,sale,2025-02-27,528948,CHRISTMAS CRAFT HEART STOCKING,2.1,0.0,2.1,17070,United Kingdom,sales,ZR
REC-00301,sale,2025-03-11,520771,JUMBO BAG STRAWBERRY,30.36,0.0,30.36,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00302,sale,2025-01-13,538149,DOTCOM POSTAGE,620.68,124.14,744.82,UNKNOWN,United Kingdom,sales,SR
REC-00303,sale,2025-02-18,522323,FELTCRAFT CUSHION BUTTERFLY,11.25,0.0,11.25,13869,United Kingdom,sales,ZR
REC-00304,sale,2025-02-16,580162,SET OF 3 WOODEN HEART DECORATIONS,2.5,0.5,3.0,12856,United Kingdom,sales,SR
REC-00305,sale,2025-03-18,550205,STRAWBERRY CERAMIC TRINKET BOX,3.29,0.66,-9.18,UNKNOWN,United Kingdom,sales,SR
REC-00306,sale,Q1-2025,572037,FELTCRAFT PRINCESS LOLA DOLL,11.25,3.89,13.5,17365,United Kingdom,sales,SR
REC-00307,sale,2025-02-04,577402,ASSORTED COLOUR BIRD ORNAMENT,54.08,10.82,64.9,15465,United Kingdom,sales,SR
REC-00308,sale,2025-02-27,525495,LARGE PURPLE BABUSHKA NOTEBOOK,15.0,0.0,15.0,15249,United Kingdom,sales,ZR
REC-00309,sale,2025-01-24,525716,CHRISTMAS METAL TAGS ASSORTED,10.2,0.0,10.2,14329,United Kingdom,sales,ZR
REC-00310,sale,2025-01-13,568134,CHARLOTTE BAG SUKI DESIGN,3.26,0.0,3.26,UNKNOWN,United Kingdom,sales,ZR
REC-00311,sale,2025-02-12,522443,PAPER BUNTING COLOURED LACE,5.9,0.0,5.9,15998,United Kingdom,sales,ZR
REC-00312,sale,2025-02-06,507453,BLUE HAPPY BIRTHDAY BUNTING,16.35,3.27,13.96,15674,United Kingdom,sales,SR
REC-00313,sale,2025-01-21,527520,EDWARDIAN PARASOL NATURAL,41.65,8.33,48.32,UNKNOWN,United Kingdom,sales,SR
REC-00314,sale,2025-02-03,528374,PACK 3 FIRE ENGINE/CAR PATCHES,15.0,3.0,18.0,16540,United Kingdom,sales,SR
REC-00315,sale,2025-02-03,507391,HAND OVER THE CHOCOLATE   SIGN,2.1,0.0,2.1,14044,United Kingdom,sales,ZR
REC-00316,sale,2025-01-30,492226,CANDY SPOT EGG WARMER HARE,2.57,0.0,2.57,UNKNOWN,United Kingdom,sales,ZR
REC-00317,sale,2025-02-04,530139,PINK BLUE FELT CRAFT TRINKET BOX,15.0,3.0,18.0,14426,United Kingdom,sales,SR
REC-00318,sale,2025-03-03,574298,CREAM SWEETHEART MINI CHEST,24.96,4.99,29.95,UNKNOWN,United Kingdom,sales,SR
REC-00319,sale,2025-01-27,509577,HAND OPEN SHAPE DECO.WHITE,10.47,2.09,12.56,17338,United Kingdom,sales,SR
REC-00320,sale,2025-03-26,537867,SQUARECUSHION COVER PINK UNION FLAG,13.5,0.0,13.5,16717,United Kingdom,sales,EXEMPT
REC-00321,sale,2025-03-24,579002,TRADITIONAL CHRISTMAS RIBBONS,6.25,0.0,6.25,14093,United Kingdom,sales,ZR
REC-00322,sale,2025-02-12,526176,RECIPE BOX PANTRY YELLOW DESIGN,2.95,0.0,2.95,13838,United Kingdom,sales,EXEMPT
REC-00323,sale,2025-01-30,570187,PAPER CHAIN KIT 50'S CHRISTMAS,5.79,0.0,5.79,UNKNOWN,United Kingdom,sales,ZR
REC-00324,sale,2025-02-18,548506,LUNCH BOX I LOVE LONDON,1.95,0.0,1.95,18037,United Kingdom,sales,ZR
REC-00325,sale,2025-03-18,492839,"ORGANISER WOOD, ANTIQUE WHITE",8.5,1.7,10.2,14085,United Kingdom,sales,SR
REC-00326,sale,2025-02-28,532146,MOUSE TOY WITH PINK T-SHIRT,7.5,1.5,9.0,15039,United Kingdom,sales,SR
REC-00327,sale,2025-03-13,512285,12 PENCILS SMALL TUBE SKULL,1.3,0.26,1.56,13069,United Kingdom,sales,SR
REC-00328,sale,2025-02-18,492358,PINK STRIPE HOT WATER BOTTLE,91.8,0.0,91.8,16779,United Kingdom,sales,EXEMPT
REC-00329,sale,2025-02-26,553762,ALARM CLOCK BAKELIKE IVORY,15.0,0.0,15.0,18145,United Kingdom,sales,ZR
REC-00330,sale,2025-01-27,566833,SET OF 3 HANGING OWLS OLLIE BEAK,15.0,0.0,15.0,17865,United Kingdom,sales,ZR
REC-00331,sale,2025-03-07,577599,SET/6 RED SPOTTY PAPER CUPS,15.6,0.0,15.6,,United Kingdom,sales,ZR
REC-00332,sale,2025-01-19,503038,SET OF PICTURE FRAME  STICKERS,5.91,TBC,7.09,UNKNOWN,United Kingdom,sales,SR
REC-00333,sale,2025-03-04,546388,WOODLAND STORAGE BOX SMALL,29.76,0.0,29.76,UNKNOWN,United Kingdom,sales,ZR
REC-00334,sale,2025-03-19,490284,BABY MOUSE RED GINGHAM DRESS,4.25,0.85,5.1,14979,United Kingdom,sales,SR
REC-00335,sale,2025-01-13,568703,HERB MARKER ROSEMARY,3.9,0.0,3.9,12748,United Kingdom,sales,ZR
REC-00336,sale,2025-02-25,555564,BATHROOM METAL SIGN,52.2,0.0,52.2,15005,United Kingdom,sales,ZR
REC-00337,sale,2025-01-09,545815,BLUE HAPPY BIRTHDAY BUNTING,32.7,6.54,39.24,14012,United Kingdom,sales,SR
REC-00338,sale,2025-03-06,579561,PACK OF 60 PINK PAISLEY CAKE CASES,1.65,0.0,1.65,16115,United Kingdom,sales,ZR
REC-00339,sale,2025-01-08,556071,FAIRY DREAMS INCENSE,5.25,1.71,6.3,15974,United Kingdom,sales,SR
REC-00340,sale,2025-03-25,558116,CHOCOLATE THIS WAY METAL SIGN,4.13,0.83,4.96,UNKNOWN,United Kingdom,sales,SR
REC-00341,sale,2025-01-13,496338,DOOR MAT UNION FLAG,27.0,0.0,27.0,17230,United Kingdom,sales,ZR
REC-00342,sale,2025-03-27,534219,GREEN CHRISTMAS TREE CARD HOLDER,4.25,0.85,5.1,13230,United Kingdom,sales,SR
REC-00343,sale,2025-03-13,538877,ENGLISH ROSE HOT WATER BOTTLE,59.29,11.86,71.15,UNKNOWN,United Kingdom,sales,SR
REC-00344,sale,2025-02-23,536024,FOLDING UMBRELLA BLACKBLUE POLKADOT,14.85,2.97,17.82,17338,United Kingdom,sales,SR
REC-00345,sale,2025-03-12,543530,ROSES REGENCY TEACUP AND SAUCER,69.18,13.84,83.02,UNKNOWN,United Kingdom,sales,SR
REC-00346,sale,2025-03-13,504807,FELTCRAFT HAIRBANDS PINK AND WHITE,10.2,0.0,10.2,17626,United Kingdom,sales,ZR
REC-00347,sale,2025-03-26,491211,COLOUR GLASS. STAR T-LIGHT HOLDER,66.0,0.0,66.0,14895,United Kingdom,sales,EXEMPT
REC-00348,sale,2025-01-23,557468,3 HOOK PHOTO SHELF ANTIQUE WHITE,17.0,3.4,20.4,16713,United Kingdom,sales,SR
REC-00349,sale,Jan 2025,575075,ALARM CLOCK BAKELIKE IVORY,7.5,3.31,9.0,13975,United Kingdom,sales,SR
REC-00350,sale,2025-01-09,573372,PARTY CONE CHRISTMAS DECORATION,10.2,0.23,12.24,12971,United Kingdom,sales,SR
REC-00351,sale,2025-02-25,572719,BLUE REFECTORY CLOCK,19.9,0.0,19.9,13871,United Kingdom,sales,EXEMPT
REC-00352,sale,2025-01-16,569372,GIN + TONIC DIET METAL SIGN,9.92,1.98,11.9,UNKNOWN,United Kingdom,sales,SR
REC-00353,sale,2025-02-20,516263,"LETTER ""E"" BLING KEY RING",1.25,0.0,1.25,17841,United Kingdom,sales,EXEMPT
REC-00354,sale,2025-02-20,559055,SILK PURSE BABUSHKA PINK,6.63,1.33,7.96,UNKNOWN,United Kingdom,sales,SR
REC-00355,sale,2025-02-11,580754,HOT BATHS METAL SIGN,34.72,0.0,34.72,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00356,sale,2025-02-17,578999,VINTAGE BELLS GARLAND,8.67,1.73,10.4,17595,United Kingdom,sales,SR
REC-00357,sale,2025-03-10,557960,LARGE ANTIQUE WHITE PHOTO FRAME,15.8,0.0,15.8,15453,United Kingdom,sales,EXEMPT
REC-00358,sale,2025-03-13,510016,RED RETROSPOT CAKE STAND,21.9,4.38,26.28,16369,United Kingdom,sales,SR
REC-00359,sale,2025-02-13,505472,RED SPOTTY SHOPPER BAG,12.5,2.5,15.0,12932,United Kingdom,sales,SR
REC-00360,sale,2025-02-24,494382,FLORAL BLUE MONSTER,3.36,0.67,4.03,UNKNOWN,United Kingdom,sales,SR
REC-00361,sale,2025-03-25,565917,SET 12 KIDS  WHITE CHALK STICKS,0.83,0.17,1.0,UNKNOWN,United Kingdom,sales,SR
REC-00362,sale,2025-01-10,537823,BIRD DECORATION RED RETROSPOT,1.66,0.33,1.99,UNKNOWN,United Kingdom,sales,SR
REC-00363,sale,2025-01-10,536808,FELTCRAFT CUSHION RABBIT,45.0,9.0,54.0,17659,United Kingdom,sales,SR
REC-00364,sale,2025-01-08,568989,JUMBO BAG ALPHABET,20.8,4.16,24.96,14709,United Kingdom,sales,SR
REC-00365,sale,2025-02-28,560305,LARGE YELLOW BABUSHKA NOTEBOOK,2.5,0.5,3.0,16511,United Kingdom,sales,SR
REC-00366,sale,2025-02-07,562715,POTTERING IN THE SHED METAL SIGN,4.13,0.83,4.96,UNKNOWN,United Kingdom,sales,SR
REC-00367,sale,2025-03-11,524446,RED FLORAL FELTCRAFT SHOULDER BAG,3.75,0.75,4.5,14049,United Kingdom,sales,SR
REC-00368,sale,2025-03-02,503180,DOOR MAT WELCOME PUPPIES,7.49,1.5,8.99,12836,United Kingdom,sales,SR
REC-00369,sale,2025-01-30,514367,WRAP SUKI AND FRIENDS,10.5,2.1,12.6,15015,United Kingdom,sales,SR
REC-00370,sale,2025-03-21,552520,RIBBON REEL FLORA + FAUNA,3.29,0.0,3.29,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00371,sale,2025-03-10,543345,SMALL CHUNKY GLASS ROMAN  BOWL,17.37,VOID,20.84,UNKNOWN,United Kingdom,sales,SR
REC-00372,sale,2025-01-24,580874,BLUE DINER WALL CLOCK,17.0,3.4,20.4,14735,United Kingdom,sales,SR
REC-00373,sale,2025-02-03,581217,RED RETROSPOT ROUND CAKE TINS,20.79,4.16,24.95,UNKNOWN,United Kingdom,sales,SR
REC-00374,sale,2025-01-29,549123,SET/2 RED RETROSPOT TEA TOWELS,19.5,3.9,23.4,15201,United Kingdom,sales,SR
REC-00375,sale,2025-01-15,571270,4 PEAR BOTANICAL DINNER CANDLES,2.5,0.5,3.0,12940,United Kingdom,sales,SR
REC-00376,sale,2025-01-14,503968,CHILDS GARDEN FORK PINK,10.2,2.04,12.24,15129,United Kingdom,sales,SR
REC-00377,sale,2025-03-25,491833,"POCKET MIRROR ""GLAMOROUS""",5.0,1.0,6.0,12926,United Kingdom,sales,SR
REC-00378,sale,2025-02-09,568910,SET OF 3 WOODEN SLEIGH DECORATIONS,15.0,3.0,18.0,16574,United Kingdom,sales,SR
REC-00379,sale,2025-02-04,576840,WALL ART THE MAGIC FOREST,14.13,2.83,16.96,UNKNOWN,United Kingdom,sales,SR
REC-00380,sale,2025-03-06,576618,FOLDING BUTTERFLY MIRROR IVORY,7.38,0.0,7.38,UNKNOWN,United Kingdom,sales,ZR
REC-00381,sale,2025-02-19,522792,SPOTS DESIGN MUG W PINK INSIDE,39.6,7.92,47.52,17706,United Kingdom,sales,SR
REC-00382,sale,2025-03-25,578270,"FEATHER PEN,COAL BLACK",2.49,0.5,2.99,14096,United Kingdom,sales,SR
REC-00383,sale,2025-03-12,498012,PAPER CHAIN KIT RETRO SPOT,8.85,1.77,10.62,17241,United Kingdom,sales,SR
REC-00384,sale,2025-02-12,522733,DOORMAT WELCOME SUNRISE,15.9,3.18,19.08,17588,United Kingdom,sales,SR
REC-00385,sale,2025-02-04,551966,WASHROOM METAL SIGN,7.25,1.45,8.7,15356,United Kingdom,sales,SR
REC-00386,sale,2025-03-31,507693,PURPLE PAPER PARASOL,29.5,5.9,35.4,14055,United Kingdom,sales,SR
REC-00387,sale,2025-03-06,502444,RED SPOTTY ROUND CAKE TINS,9.95,1.99,11.94,14729,United Kingdom,sales,SR
REC-00388,sale,2025-03-27,504458,DOOR MAT TOPIARY,7.49,1.5,8.99,15982,United Kingdom,sales,SR
REC-00389,sale,2025-01-10,570685,CHRISTMAS STAR WISH LIST CHALKBOARD,7.5,0.0,7.5,13208,United Kingdom,sales,EXEMPT
REC-00390,sale,2025-03-18,570479,SPACEBOY LUNCH BOX,5.85,3.38,8.91,17589,United Kingdom,sales,SR
REC-00391,sale,2025-02-26,501320,RED 3 PIECE MINI DOTS CUTLERY SET,22.5,0.0,22.5,15123,United Kingdom,sales,EXEMPT
REC-00392,sale,2025-01-11,518748,RED SPOTTY WASHBAG,8.4,1.68,10.08,14700,United Kingdom,sales,SR
REC-00393,sale,2025-02-21,534658,PACK OF 60 DINOSAUR CAKE CASES,0.55,0.11,0.66,18118,United Kingdom,sales,SR
REC-00394,sale,2025-03-03,567304,LADIES & GENTLEMEN METAL SIGN,2.55,0.51,3.06,14704,United Kingdom,sales,SR
REC-00395,sale,2025-01-01,537852,ANTIQUE SILVER TEA GLASS ENGRAVED,30.0,6.0,36.0,17340,United Kingdom,sales,SR
REC-00396,sale,2025-02-11,567511,ANTIQUE SILVER T-LIGHT GLASS,76.32,15.26,91.58,13094,United Kingdom,sales,SR
REC-00397,sale,2025-03-15,530264,12 PENCILS TALL TUBE WOODLAND,10.2,2.04,12.24,14206,United Kingdom,sales,SR
REC-00398,sale,2025-01-27,544434,SUKI  SHOULDER BAG,3.29,0.66,3.95,UNKNOWN,United Kingdom,sales,SR
REC-00399,sale,2025-02-11,521912,LUNCH BAG CARS BLUE,4.95,0.99,5.94,15005,United Kingdom,sales,SR
REC-00400,sale,2025-02-10,517076,JUMBO BAG SCANDINAVIAN PAISLEY,16.84,3.37,20.21,UNKNOWN,United Kingdom,sales,SR
REC-00401,purchase,2025-01-28,22236,Fnb Corp/Fl/ Dec 2002 SMAP Production Agency Fees & Commissions 3 Other Agency,94.89,18.98,113.87,VENDOR-2392,United Kingdom,purchases,SR
REC-00402,purchase,2025-03-24,15979,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2019Jul Corning Inc /Ny,91.06,18.21,109.27,VENDOR-1883,United Kingdom,purchases,SR
